First Investment Day,Last Investment Day,Return (%)
1930-02-20,1960-02-12,2075.5793213097068
1930-03-24,1960-03-11,1928.3979581382778
1930-04-21,1960-04-12,2164.0220582344346
1930-05-21,1960-05-12,1989.0991006653028
1930-06-20,1960-06-10,2363.484591372483
1930-07-21,1960-07-11,2223.9304934315837
1930-08-19,1960-08-10,2120.168256249155
1930-09-18,1960-09-09,2120.7010204419907
1930-10-20,1960-10-07,1873.0903480707595
1930-11-17,1960-11-07,1985.9411065685074
1930-12-17,1960-12-08,2101.288447077446
1931-01-16,1961-01-06,2372.4080600560646
1931-02-16,1961-02-06,2819.846332777491
1931-03-17,1961-03-08,3059.4279439143857
1931-04-16,1961-04-07,3445.6642129240336
1931-05-18,1961-05-05,3498.96477113769
1931-06-15,1961-06-06,3555.813419965493
1931-07-15,1961-07-06,3368.86061199335
1931-08-14,1961-08-04,3665.2441723333313
1931-09-14,1961-09-01,3748.61764750905
1931-10-13,1961-10-04,3565.9649079267865
1931-11-12,1961-11-03,3944.9690412027458
1931-12-14,1961-12-01,4357.832615531044
1932-01-11,1962-01-02,4198.011826519007
1932-02-10,1962-02-01,3885.6674120031357
1932-03-11,1962-03-02,4036.237722745702
1932-04-11,1962-04-02,3895.547569240847
1932-05-10,1962-05-02,3321.128665589449
1932-06-09,1962-06-01,2309.1130926870933
1932-07-11,1962-06-29,1749.1313193044443
1932-08-08,1962-07-31,2097.7448393056657
1932-09-07,1962-08-30,2140.386446944951
1932-10-07,1962-09-28,1868.2271173264735
1932-11-07,1962-10-29,1788.0676949735555
1932-12-06,1962-11-28,2499.2395671363493
1933-01-05,1962-12-28,2592.8558607276277
1933-02-06,1963-01-25,2978.535914179483
1933-03-15,1963-02-26,2897.592775225909
1933-04-05,1963-03-28,3036.815621504434
1933-05-05,1963-04-26,3476.5554379623695
1933-06-05,1963-05-27,3493.6040047663637
1933-07-05,1963-06-26,3416.063198182856
1933-08-03,1963-07-26,3277.6329083990527
1933-09-05,1963-08-23,3768.6481690812484
1933-10-02,1963-09-24,4014.706527120456
1933-11-01,1963-10-24,3997.922526937898
1933-12-01,1963-11-22,3387.585255153539
1934-01-02,1963-12-23,4027.8714610866523
1934-01-30,1964-01-22,4574.33208080867
1934-03-01,1964-02-20,4682.568969278953
1934-04-02,1964-03-20,4917.723137933723
1934-04-30,1964-04-21,5217.474307243604
1934-05-31,1964-05-21,5284.810677777931
1934-06-29,1964-06-19,5255.733762792215
1934-07-30,1964-07-20,5831.684752880327
1934-08-28,1964-08-19,5508.8964679430555
1934-09-27,1964-09-18,5729.43645612282
1934-10-29,1964-10-16,5997.12113617643
1934-11-26,1964-11-17,6231.814407449123
1934-12-26,1964-12-17,5753.209184594344
1935-01-25,1965-01-15,6228.380706469316
1935-02-25,1965-02-15,6174.574787518215
1935-03-26,1965-03-17,6363.815808928858
1935-04-25,1965-04-15,6582.811142458011
1935-05-27,1965-05-14,7007.753626230589
1935-06-24,1965-06-15,5722.2439476407335
1935-07-24,1965-07-15,5938.0014897279125
1935-08-23,1965-08-13,6140.856442700675
1935-09-23,1965-09-13,6705.515737721114
1935-10-22,1965-10-13,7140.442460087395
1935-11-21,1965-11-12,7415.005918906622
