First Investment Day,Last Investment Day,Return (%)
1940-06-27,1955-06-23,168.5671742859913
1940-07-29,1955-07-22,181.51078661519819
1940-08-26,1955-08-22,173.07904586923365
1940-09-25,1955-09-21,193.32655045195085
1940-10-25,1955-10-21,173.63126111379165
1940-11-25,1955-11-18,190.89562714249658
1940-12-24,1955-12-20,185.42236733551005
1941-01-23,1956-01-19,175.83772134031705
1941-02-24,1956-02-17,179.11329187969727
1941-03-24,1956-03-19,202.44947047343877
1941-04-23,1956-04-18,195.19288502384637
1941-05-23,1956-05-18,184.61876151203973
1941-06-23,1956-06-15,182.1819618747816
1941-07-22,1956-07-17,197.74843180549854
1941-08-21,1956-08-16,193.1556058458178
1941-09-22,1956-09-14,181.13452090730735
1941-10-20,1956-10-15,177.23163522646055
1941-11-19,1956-11-14,170.20234926426383
1941-12-19,1956-12-14,171.31480679513174
1942-01-19,1957-01-11,166.7407719984728
1942-02-17,1957-02-12,142.86957410908624
1942-03-19,1957-03-14,150.2784346741362
1942-04-20,1957-04-12,153.0818705755649
1942-05-18,1957-05-13,160.9129629602684
1942-06-17,1957-06-12,164.5124172785553
1942-07-17,1957-07-12,167.39018364391336
1942-08-17,1957-08-09,153.16405322304712
1942-09-15,1957-09-10,134.44850003221453
1942-10-15,1957-10-10,116.68549616959096
1942-11-16,1957-11-08,110.77612365849332
1942-12-14,1957-12-09,112.73022029206182
1943-01-13,1958-01-08,111.24471365278366
1943-02-15,1958-02-07,113.23085076336079
1943-03-15,1958-03-07,113.36000439138888
1943-04-13,1958-04-08,108.66656792078102
1943-05-13,1958-05-08,119.91955577405837
1943-06-14,1958-06-06,121.70778623809272
1943-07-12,1958-07-07,124.98885087788427
1943-08-11,1958-08-06,132.4522154946535
1943-09-10,1958-09-05,133.23938970072226
1943-10-11,1958-10-03,143.20949709550897
1943-11-09,1958-11-03,147.2042654928974
1943-12-09,1958-12-04,149.86405432213195
1944-01-10,1959-01-02,161.4359772748573
1944-02-07,1959-02-02,158.39001463056496
1944-03-08,1959-03-04,161.538883019795
1944-04-10,1959-04-03,159.91998803470068
1944-05-08,1959-05-01,163.37516710772732
1944-06-06,1959-06-02,163.91263452409018
1944-07-06,1959-07-02,166.56252289534325
1944-08-07,1959-07-31,171.0675962048337
1944-09-05,1959-08-31,164.9392234595842
1944-10-04,1959-09-30,150.8987835678849
1944-11-03,1959-10-30,151.7885049261422
1944-12-04,1959-11-27,150.62660879490306
1945-01-02,1959-12-29,155.58576613584134
1945-02-01,1960-01-28,140.10409407897492
1945-03-05,1960-02-26,138.48189530090357
1945-04-02,1960-03-28,135.5918613725711
1945-05-02,1960-04-27,130.4673165983895
1945-06-01,1960-05-27,131.87389581442503
1945-07-02,1960-06-24,138.38544926361308
1945-07-31,1960-07-26,124.61786371570942
1945-08-30,1960-08-25,136.43580908168028
1945-10-01,1960-09-23,118.38887860226632
1945-10-29,1960-10-24,112.89601380799277
1945-11-28,1960-11-23,124.07915445921498
1945-12-28,1960-12-23,129.3923353002175
1946-01-28,1961-01-20,137.9765785476691
1946-02-26,1961-02-21,146.40948297316345
1946-03-28,1961-03-23,153.34202378954402
1946-04-29,1961-04-21,156.66657974666043
1946-05-27,1961-05-22,159.4531372886056
1946-06-26,1961-06-21,151.55301171237505
1946-07-26,1961-07-21,149.14578297615427
1946-08-26,1961-08-18,160.80246926404737
1946-09-24,1961-09-19,150.85430398375183
1946-10-24,1961-10-19,157.872590681161
1946-11-25,1961-11-17,167.85295947707965
1946-12-23,1961-12-18,165.985514590323
1947-01-22,1962-01-17,151.34371699160516
1947-02-21,1962-02-16,157.66486039938272
1947-03-24,1962-03-16,157.0706533007031
1947-04-22,1962-04-17,144.22578173219583
1947-05-22,1962-05-17,128.14277123336458
1947-06-23,1962-06-15,97.66170660375221
1947-07-21,1962-07-16,102.9537822442617
1947-08-20,1962-08-15,104.43129633688837
1947-09-19,1962-09-14,103.69803000076033
1947-10-20,1962-10-12,95.40186476539412
1947-11-18,1962-11-13,102.53080912637994
1947-12-18,1962-12-13,110.9158349506806
1948-01-19,1963-01-11,117.42247690873316
1948-02-16,1963-02-11,118.66768136248768
1948-03-17,1963-03-13,117.1632062632477
1948-04-16,1963-04-11,124.38068875087748
1948-05-17,1963-05-10,127.97046211323821
1948-06-15,1963-06-11,124.56106131250353
1948-07-15,1963-07-11,122.0266254158763
1948-08-16,1963-08-09,122.53630496304726
1948-09-13,1963-09-09,127.24388892212923
1948-10-13,1963-10-09,122.97546607865648
1948-11-12,1963-11-08,125.89601876782052
1948-12-13,1963-12-06,125.64658666374686
1949-01-11,1964-01-07,128.52717732392077
1949-02-10,1964-02-06,130.22555534255721
1949-03-14,1964-03-06,131.87262185440227
1949-04-11,1964-04-06,134.55027230993323
1949-05-11,1964-05-06,135.15537573598482
1949-06-10,1964-06-05,126.91617621677476
1949-07-11,1964-07-02,134.39166465070855
1949-08-09,1964-08-04,129.95167962588485
1949-09-08,1964-09-03,129.20309603762345
1949-10-10,1964-10-02,131.6866698941632
1949-11-07,1964-11-02,131.5255122346591
1949-12-07,1964-12-02,125.38796036243902
1950-01-06,1964-12-31,126.31782445970386
1950-02-06,1965-01-29,131.48992411230515
1950-03-07,1965-03-02,128.11366613410453
1950-04-06,1965-04-01,123.03638965715369
1950-05-08,1965-04-30,128.73264866314005
1950-06-05,1965-05-28,124.84726067616332
1950-07-05,1965-06-30,111.90152355407024
1950-08-04,1965-07-30,112.63202030073849
1950-09-05,1965-08-27,115.37410704224527
1950-10-03,1965-09-28,121.24262704295879
1950-11-02,1965-10-28,123.53908380995857
1950-12-04,1965-11-26,121.156034980925
1951-01-02,1965-12-27,117.81010947707533
1951-01-31,1966-01-26,122.22548020539558
1951-03-02,1966-02-25,113.23234655153588
1951-04-02,1966-03-25,107.77298831160876
1951-05-01,1966-04-26,111.62922803256467
1951-05-31,1966-05-26,99.83316799820066
1951-07-02,1966-06-24,95.89674732698921
1951-07-30,1966-07-25,89.01924012982904
1951-08-29,1966-08-24,76.83882794468666
1951-09-28,1966-09-23,72.4023492766262
1951-10-29,1966-10-21,72.33940020767987
1951-11-27,1966-11-22,74.24325540981216
1951-12-27,1966-12-22,77.17991584609481
1952-01-28,1967-01-20,85.19498303645422
1952-02-25,1967-02-20,86.74483536686012
1952-03-26,1967-03-22,91.21245963344563
1952-04-25,1967-04-21,94.04013753397012
1952-05-26,1967-05-19,91.86716768007784
1952-06-24,1967-06-20,91.08378461089868
1952-07-24,1967-07-20,92.36727492751054
1952-08-25,1967-08-18,92.7959097222439
1952-09-22,1967-09-18,94.82883275732786
1952-10-22,1967-10-18,90.71307909500075
1952-11-21,1967-11-17,84.19081695004196
1952-12-22,1967-12-15,87.00602673288923
1953-01-20,1968-01-16,87.12908448601836
1953-02-19,1968-02-15,75.04858454880387
1953-03-23,1968-03-15,71.34303945506913
1953-04-20,1968-04-15,84.31719102077075
1953-05-20,1968-05-15,85.48591519140066
1953-06-19,1968-06-14,89.62115669526878
1953-07-20,1968-07-12,90.08898287975428
1953-08-18,1968-08-13,81.35824209189849
1953-09-17,1968-09-12,83.34576963111621
1953-10-19,1968-10-11,86.2134694855336
1953-11-16,1968-11-08,85.81001233377724
1953-12-16,1968-12-10,90.05687252623397
1954-01-15,1969-01-10,76.88436412995385
1954-02-15,1969-02-07,79.74340690856343
1954-03-16,1969-03-11,70.8603365938289
1954-04-15,1969-04-10,73.08051442352992
1954-05-17,1969-05-09,77.48437129761876
1954-06-14,1969-06-09,69.62231150574901
1954-07-14,1969-07-09,61.00346312907462
1954-08-13,1969-08-08,54.96266825858297
1954-09-13,1969-09-05,53.26544103250753
1954-10-12,1969-10-07,51.26894098648398
1954-11-11,1969-11-06,57.50990842707895
1954-12-13,1969-12-05,46.934244374629024
1955-01-10,1970-01-05,48.80549646118289
1955-02-09,1970-02-04,36.5332344592994
1955-03-11,1970-03-06,40.84345591326715
1955-04-11,1970-04-03,39.91678968599129
1955-05-10,1970-05-05,22.406933614639993
1955-06-09,1970-06-04,19.865405736845194
1955-07-11,1970-07-02,12.46974707816474
1955-08-08,1970-08-03,18.36510030264024
1955-09-07,1970-09-02,23.904220536070397
1955-10-07,1970-10-02,29.81995952963651
1955-11-07,1970-10-30,26.475700699023058
1955-12-06,1970-12-01,32.181085558056566
1956-01-05,1970-12-31,38.91200752367881
1956-02-06,1971-01-29,43.913115149490764
1956-03-05,1971-03-01,44.68886509974098
1956-04-04,1971-03-31,49.24519899762878
1956-05-04,1971-04-30,54.044137866123485
1956-06-04,1971-05-28,47.03002090107954
1956-07-03,1971-06-29,45.17553842851331
1956-08-02,1971-07-29,40.46895472071543
1956-09-04,1971-08-27,46.45074170091969
1956-10-01,1971-09-27,41.69722648126974
1956-10-31,1971-10-27,35.88716562466186
1956-11-30,1971-11-26,32.67462300922328
1956-12-31,1971-12-23,44.704147253100516
1957-01-29,1972-01-25,46.9027485429791
1957-02-28,1972-02-24,50.13449293837543
1957-04-01,1972-03-24,51.74210147923637
1957-04-29,1972-04-24,52.35314889132462
1957-05-29,1972-05-24,54.54640851534286
1957-06-28,1972-06-23,50.96391748162454
1957-07-29,1972-07-21,48.01057677067598
1957-08-27,1972-08-22,55.359317711811215
1957-09-26,1972-09-21,49.14186821835281
1957-10-28,1972-10-20,49.467827547833
1957-11-25,1972-11-20,57.03314297231128
1957-12-26,1972-12-20,56.65001973765559
1958-01-24,1973-01-19,59.3266605820963
1958-02-24,1973-02-16,53.311703337088304
1958-03-25,1973-03-20,48.26056291788613
1958-04-24,1973-04-19,47.612695346065934
1958-05-26,1973-05-18,35.87330163329649
1958-06-23,1973-06-18,34.76760213094257
1958-07-23,1973-07-18,37.5698486691595
1958-08-22,1973-08-17,31.64879213258951
1958-09-22,1973-09-14,33.70348322426967
1958-10-21,1973-10-16,40.359180847278445
1958-11-20,1973-11-15,29.862228168832555
1958-12-22,1973-12-14,17.836083660308503
1959-01-19,1974-01-14,17.563701845352163
1959-02-18,1974-02-13,14.13294599574814
1959-03-20,1974-03-15,24.097666431294662
1959-04-20,1974-04-11,14.75211375243971
1959-05-19,1974-05-14,12.642770948918283
1959-06-18,1974-06-13,14.414074170699145
1959-07-20,1974-07-12,2.75679235570958
1959-08-17,1974-08-12,-1.6144730680262702
1959-09-16,1974-09-11,-15.510253362506552
1959-10-16,1974-10-11,-12.395620883485787
1959-11-16,1974-11-08,-7.899556575129658
1959-12-15,1974-12-10,-17.398076303427786
1960-01-14,1975-01-09,-12.712921496116241
1960-02-15,1975-02-07,-3.738055761231905
1960-03-14,1975-03-10,3.739758851346427
1960-04-13,1975-04-09,0.8615575611657024
1960-05-13,1975-05-09,9.884275690513604
1960-06-13,1975-06-06,11.846011937074307
1960-07-12,1975-07-08,12.613819785910628
1960-08-11,1975-08-07,3.747182387214868
1960-09-12,1975-09-05,2.6629613483191505
1960-10-10,1975-10-06,3.8781535672016054
1960-11-09,1975-11-05,6.218404325115559
1960-12-09,1975-12-05,3.0840534787497123
1961-01-09,1976-01-02,7.575944316708267
1961-02-07,1976-02-03,19.349165275016095
1961-03-09,1976-03-04,16.34230160721141
1961-04-10,1976-04-02,19.90966982650235
1961-05-08,1976-05-03,18.04840198115717
1961-06-07,1976-06-02,16.962030299328436
1961-07-07,1976-07-02,21.173329280385577
1961-08-07,1976-07-30,20.18483967345613
1961-09-05,1976-08-31,19.28106238124407
1961-10-05,1976-09-30,21.670339682863474
1961-11-06,1976-10-29,18.655052933568026
1961-12-04,1976-11-29,17.86119024996062
1962-01-03,1976-12-29,22.102308606012187
1962-02-02,1977-01-28,16.765311519684108
1962-03-05,1977-02-25,13.70817245277736
1962-04-03,1977-03-29,13.713828801468802
1962-05-03,1977-04-28,11.7609146706308
1962-06-04,1977-05-27,9.334295509086648
1962-07-02,1977-06-27,14.282670375416537
1962-08-01,1977-07-27,11.20083303034187
1962-08-31,1977-08-26,8.208127379796574
1962-10-01,1977-09-23,6.404458296008832
1962-10-30,1977-10-25,1.8213704722287158
1962-11-29,1977-11-23,7.525821862483808
1962-12-31,1977-12-23,5.218669639556186
1963-01-28,1978-01-23,-1.1353205076623187
1963-02-27,1978-02-22,-3.1743064561519057
1963-03-29,1978-03-23,-1.4055902572062982
1963-04-29,1978-04-21,3.8639431998710068
1963-05-28,1978-05-23,7.724917114608545
1963-06-27,1978-06-22,5.5406603072012395
1963-07-29,1978-07-21,6.98480516277472
1963-08-26,1978-08-21,13.406418190870692
1963-09-25,1978-09-20,10.806624973396076
1963-10-25,1978-10-20,6.454401575559217
1963-11-26,1978-11-17,2.465846070755764
1963-12-24,1978-12-19,2.0889785409395016
1964-01-23,1979-01-18,7.834417465602216
1964-02-24,1979-02-16,6.530711329945735
1964-03-23,1979-03-19,8.959836719415822
1964-04-22,1979-04-18,9.483850067996082
1964-05-22,1979-05-18,7.4306597833878065
1964-06-22,1979-06-15,9.614190519055494
1964-07-21,1979-07-17,9.18263562167147
1964-08-20,1979-08-16,15.762371279473259
1964-09-21,1979-09-14,16.291239060890238
1964-10-19,1979-10-15,10.355575836016094
1964-11-18,1979-11-14,10.263847092400438
1964-12-18,1979-12-14,16.025855505834087
1965-01-18,1980-01-11,16.925992690615573
1965-02-16,1980-02-12,25.243900239506956
1965-03-18,1980-03-13,12.039934611296188
1965-04-19,1980-04-11,9.982901581999453
1965-05-17,1980-05-12,10.924603179660199
1965-06-16,1980-06-11,22.716445511061746
1965-07-16,1980-07-11,24.432942007792168
1965-08-16,1980-08-08,30.278873514145456
1965-09-14,1980-09-09,30.512145925447076
1965-10-14,1980-10-09,37.588947837637974
1965-11-15,1980-11-07,35.40308112136319
