First Investment Day,Last Investment Day,Return (%)
1930-02-20,1960-02-12,273.44812861433184
1930-03-24,1960-03-11,264.81333290660655
1930-04-21,1960-04-12,278.30966878112866
1930-05-21,1960-05-12,268.2609967411199
1930-06-20,1960-06-10,288.95436091160593
1930-07-21,1960-07-11,281.04592590005075
1930-08-19,1960-08-10,275.2367893878023
1930-09-18,1960-09-09,275.0383683428492
1930-10-20,1960-10-07,260.7866308711823
1930-11-17,1960-11-07,267.4476726068747
1930-12-17,1960-12-08,273.8229172839848
1931-01-16,1961-01-06,288.02587495121116
1931-02-16,1961-02-06,309.4618031744516
1931-03-17,1961-03-08,319.8601832119809
1931-04-16,1961-04-07,335.81468399826065
1931-05-18,1961-05-05,338.71798834289024
1931-06-15,1961-06-06,339.9629877823307
1931-07-15,1961-07-06,331.91277055722287
1931-08-14,1961-08-04,343.0714807113357
1931-09-14,1961-09-01,345.56951166754806
1931-10-13,1961-10-04,337.6004579585049
1931-11-12,1961-11-03,350.7974795253952
1931-12-14,1961-12-01,364.63066915103303
1932-01-11,1962-01-02,356.8637550724291
1932-02-10,1962-02-01,344.16007399572146
1932-03-11,1962-03-02,347.5708161935774
1932-04-11,1962-04-02,341.04218646376427
1932-05-10,1962-05-02,316.6763797293019
1932-06-09,1962-06-01,272.34035148333055
1932-07-11,1962-06-29,240.93385226953257
1932-08-08,1962-07-31,258.90711010162215
1932-09-07,1962-08-30,259.5955486049525
1932-10-07,1962-09-28,243.70220019200892
1932-11-07,1962-10-29,238.26507570025151
1932-12-06,1962-11-28,274.98467158824155
1933-01-05,1962-12-28,277.6876642375753
1933-02-06,1963-01-25,293.24505754937593
1933-03-15,1963-02-26,287.5470276565948
1933-04-05,1963-03-28,291.6480168338366
1933-05-05,1963-04-26,306.9551642049937
1933-06-05,1963-05-27,305.9392191353875
1933-07-05,1963-06-26,301.6348115510194
1933-08-03,1963-07-26,295.2089943982035
1933-09-05,1963-08-23,312.20425664427364
1933-10-02,1963-09-24,319.45223275927015
1933-11-01,1963-10-24,317.5036529409077
1933-12-01,1963-11-22,294.73600891749487
1934-01-02,1963-12-23,316.76229143632975
1934-01-30,1964-01-22,333.79456194312337
1934-03-01,1964-02-20,334.82707403154694
1934-04-02,1964-03-20,340.34582429185656
1934-04-30,1964-04-21,348.4810569332175
1934-05-31,1964-05-21,349.03419271073835
1934-06-29,1964-06-19,346.6001301985
1934-07-30,1964-07-20,360.53419451494204
1934-08-28,1964-08-19,350.26302109132394
1934-09-27,1964-09-18,354.38000804324116
1934-10-29,1964-10-16,359.46900575071754
