First Investment Day,Last Investment Day,Return (%)
1930-02-20,1940-02-16,-49.1222364778004
1930-03-24,1940-03-18,-51.89697866055134
1930-04-21,1940-04-17,-49.303927209712505
1930-05-21,1940-05-17,-73.01933965746481
1930-06-20,1940-06-14,-73.19614877323714
1930-07-21,1940-07-16,-71.2559546911897
1930-08-19,1940-08-15,-71.50461592571428
1930-09-18,1940-09-13,-68.33737785642857
1930-10-20,1940-10-14,-65.74126644200156
1930-11-17,1940-11-13,-57.886648305228064
1930-12-17,1940-12-13,-63.275058775582636
1931-01-16,1941-01-10,-60.70601965986704
1931-02-16,1941-02-11,-68.86459291756992
1931-03-17,1941-03-13,-68.38507599693156
1931-04-16,1941-04-10,-70.33432797837757
1931-05-18,1941-05-12,-70.72269789722401
1931-06-15,1941-06-11,-67.49051771441873
1931-07-15,1941-07-11,-61.931756741029055
1931-08-14,1941-08-08,-61.79442262645717
1931-09-14,1941-09-09,-61.39988998944531
1931-10-13,1941-10-09,-64.75188604900498
1931-11-12,1941-11-07,-67.10819810368304
1931-12-14,1941-12-08,-72.21486644518284
1932-01-11,1942-01-07,-71.55136492422366
1932-02-10,1942-02-06,-72.26694348974642
1932-03-11,1942-03-06,-77.73829917684422
1932-04-11,1942-04-07,-76.99228072504299
1932-05-10,1942-05-07,-78.57554836702364
1932-06-09,1942-06-05,-73.81385299660582
1932-07-11,1942-07-06,-71.8163523372474
1932-08-08,1942-08-05,-72.12484679594453
1932-09-07,1942-09-04,-70.0450881286247
1932-10-07,1942-10-02,-64.43485922480741
1932-11-07,1942-11-02,-58.64433664135568
1932-12-06,1942-12-03,-59.89946039361161
1933-01-05,1942-12-31,-54.07683501827078
1933-02-06,1943-02-01,-41.735735264728525
1933-03-15,1943-03-03,-33.77063270569127
1933-04-05,1943-04-02,-22.62854225103431
1933-05-05,1943-04-30,-22.68335551311781
1933-06-05,1943-06-01,-9.986724997233166
1933-07-05,1943-07-01,-5.602346549773869
1933-08-03,1943-07-30,-16.810870780155863
1933-09-05,1943-08-30,-20.445908986062626
1933-10-02,1943-09-29,-12.783251821642716
1933-11-01,1943-10-29,-14.585736781213473
1933-12-01,1943-11-26,-29.861889624285702
1934-01-02,1943-12-28,-22.963387988014635
1934-01-30,1944-01-27,-17.723063518859945
1934-03-01,1944-02-25,-15.429993536708814
1934-04-02,1944-03-27,-8.327716757241841
1934-04-30,1944-04-26,-15.93672941823289
1934-05-31,1944-05-26,-5.06280065689116
1934-06-29,1944-06-23,11.897340483878418
1934-07-30,1944-07-25,9.586895431005743
1934-08-28,1944-08-24,10.416368841162077
1934-09-27,1944-09-22,5.829463616067
1934-10-29,1944-10-23,9.79374866362857
1934-11-26,1944-11-22,10.313993964081563
1934-12-26,1944-12-22,18.55502806139689
1935-01-25,1945-01-19,27.446906543709026
1935-02-25,1945-02-20,50.57999073584133
1935-03-26,1945-03-22,33.91239111036091
1935-04-25,1945-04-20,58.02767965388759
1935-05-27,1945-05-21,68.66270552848665
1935-06-24,1945-06-20,80.9522028657252
1935-07-24,1945-07-20,62.32115420863805
1935-08-23,1945-08-17,60.551958828923134
1935-09-23,1945-09-18,102.29319701126363
1935-10-22,1945-10-18,138.4188214557515
1935-11-21,1945-11-16,149.77817312393145
1935-12-23,1945-12-17,146.10922498172155
1936-01-20,1946-01-16,213.119088287879
1936-02-19,1946-02-15,213.56265413343348
1936-03-20,1946-03-15,153.97116132783532
1936-04-20,1946-04-16,229.53932794412083
1936-05-19,1946-05-16,217.02558596887042
1936-06-18,1946-06-14,224.332486088445
1936-07-20,1946-07-15,181.64464469781254
1936-08-17,1946-08-14,192.77540202461253
1936-09-16,1946-09-13,63.6995375705661
1936-10-16,1946-10-11,40.64127348158786
1936-11-16,1946-11-12,47.58234106419629
1936-12-15,1946-12-12,53.100484226733194
1937-01-14,1947-01-10,56.05939808130033
1937-02-15,1947-02-10,81.8062520973359
1937-03-15,1947-03-12,47.12456143197968
1937-04-14,1947-04-11,39.94359419868043
1937-05-14,1947-05-09,36.79913369809824
1937-06-14,1947-06-10,34.441444021424886
1937-07-13,1947-07-10,67.53398752096993
1937-08-12,1947-08-08,59.43180711674644
1937-09-13,1947-09-08,42.675612137209015
1937-10-11,1947-10-08,51.73508804469874
1937-11-10,1947-11-07,56.232352035100256
1937-12-10,1947-12-05,36.28660994370262
1938-01-10,1948-01-06,50.95510245585052
1938-02-08,1948-02-05,23.395862282696207
1938-03-10,1948-03-05,20.90043117481453
1938-04-11,1948-04-05,49.405744358917744
1938-05-09,1948-05-05,58.17443934512736
1938-06-08,1948-06-04,92.8099800115175
1938-07-08,1948-07-02,100.81366110123248
1938-08-08,1948-08-03,67.41698910189494
1938-09-06,1948-09-02,77.84017400016921
1938-10-06,1948-10-01,58.77909925279043
1938-11-07,1948-11-01,91.79257837591975
1938-12-05,1948-12-01,36.792326336971676
1939-01-04,1948-12-31,42.34916002056858
1939-02-03,1949-01-28,41.537601702804174
1939-03-06,1949-03-01,27.52325574314393
1939-04-04,1949-03-31,37.03372578751635
1939-05-04,1949-04-29,27.363012670268944
1939-06-05,1949-05-27,22.043034979192285
1939-07-03,1949-06-29,11.20141537598065
1939-08-02,1949-07-29,35.004553678680104
1939-09-01,1949-08-26,41.32346562591377
1939-10-02,1949-09-27,44.20517097936563
1939-10-31,1949-10-27,65.23801356345845
1939-11-30,1949-11-25,63.43450201749715
1940-01-02,1949-12-23,80.64607470877763
1940-01-29,1950-01-25,82.84802029624213
1940-02-28,1950-02-24,100.46770538146556
1940-03-29,1950-03-24,109.79489781027087
1940-04-29,1950-04-25,118.77835129316003
1940-05-28,1950-05-25,152.90788502157625
1940-06-27,1950-06-23,167.1595700883844
1940-07-29,1950-07-24,96.96900310190198
1940-08-26,1950-08-23,143.01862510466668
