First Investment Day,Last Investment Day,Return (%)
1930-02-20,1945-02-15,11.206821832197406
1930-03-24,1945-03-16,11.770709531719517
1930-04-21,1945-04-16,21.43630762008921
1930-05-21,1945-05-16,26.779380749168517
1930-06-20,1945-06-15,38.00604647661618
1930-07-21,1945-07-13,36.775601721655285
1930-08-19,1945-08-14,27.205547665713702
1930-09-18,1945-09-13,62.37731040485367
1930-10-20,1945-10-11,82.08566540479845
1930-11-17,1945-11-09,99.5788192816976
1930-12-17,1945-12-12,108.82612960016517
1931-01-16,1946-01-11,136.58830397146056
1931-02-16,1946-02-08,152.2202676883073
1931-03-17,1946-03-12,105.45317818352824
1931-04-16,1946-04-11,156.14796521316765
1931-05-18,1946-05-10,154.59720257936297
1931-06-15,1946-06-10,159.12726144607876
1931-07-15,1946-07-10,144.04106970394898
1931-08-14,1946-08-09,126.30741165771921
1931-09-14,1946-09-06,45.93701426278368
1931-10-13,1946-10-08,9.690576539791005
1931-11-12,1946-11-07,13.462476960189296
1931-12-14,1946-12-06,11.408169911112658
1932-01-11,1947-01-06,28.542635756029743
1932-02-10,1947-02-05,40.486842451547275
1932-03-11,1947-03-07,20.8016050927685
1932-04-11,1947-04-03,21.396792724015825
1932-05-10,1947-05-06,9.0953883192971
1932-06-09,1947-06-05,1.943388862913225
1932-07-11,1947-07-03,28.80966105383701
1932-08-08,1947-08-04,28.063205968351156
1932-09-07,1947-09-03,21.075985765730216
1932-10-07,1947-10-03,19.028319988665096
1932-11-07,1947-10-31,23.460981298175547
1932-12-06,1947-12-02,15.389998776086408
1933-01-05,1947-12-31,20.11728676360316
1933-02-06,1948-01-30,5.954393281064121
1933-03-15,1948-03-01,-7.8089819077353075
1933-04-05,1948-03-31,12.972731686896097
1933-05-05,1948-04-30,21.798900069992023
1933-06-05,1948-05-28,52.36409700628069
1933-07-05,1948-06-29,52.299372546674135
1933-08-03,1948-07-29,34.727986856453455
1933-09-05,1948-08-27,36.11547182474779
1933-10-02,1948-09-27,13.660241152713349
1933-11-01,1948-10-27,47.42020892371206
1933-12-01,1948-11-26,5.353692678063554
1934-01-02,1948-12-24,12.833746330323104
1934-01-30,1949-01-25,13.51650281422473
1934-03-01,1949-02-24,-5.225936387416328
1934-04-02,1949-03-25,4.447549525736415
1934-04-30,1949-04-25,-0.19443209487484164
1934-05-31,1949-05-25,-2.186170767959973
1934-06-29,1949-06-24,-11.025260092475666
1934-07-30,1949-07-22,4.397174725160179
1934-08-28,1949-08-23,10.19714081978586
1934-09-27,1949-09-22,17.24791691017022
1934-10-29,1949-10-21,25.329758754675645
1934-11-26,1949-11-21,30.200369670144628
1934-12-26,1949-12-21,40.7401237680678
1935-01-25,1950-01-20,51.17496251875967
1935-02-25,1950-02-17,57.77393855768149
1935-03-26,1950-03-21,66.08191735337567
1935-04-25,1950-04-20,79.38021267421111
1935-05-27,1950-05-19,102.1501422979433
1935-06-24,1950-06-19,109.28178355320732
1935-07-24,1950-07-19,57.89731095365386
1935-08-23,1950-08-18,95.873545597521
1935-09-23,1950-09-15,115.24672644593916
1935-10-22,1950-10-17,134.91889432957888
1935-11-21,1950-11-16,127.74875374378607
1935-12-23,1950-12-15,112.42431591211617
1936-01-20,1951-01-15,182.5964400000088
1936-02-19,1951-02-14,215.63551151047187
1936-03-20,1951-03-16,194.79929082778816
1936-04-20,1951-04-13,213.1138035562449
1936-05-19,1951-05-15,198.65979299381254
1936-06-18,1951-06-14,201.00755184030385
1936-07-20,1951-07-13,205.975574418137
1936-08-17,1951-08-13,240.72439304133258
1936-09-16,1951-09-12,277.7747823535685
1936-10-16,1951-10-11,282.2824624136304
1936-11-16,1951-11-09,236.6447454048838
1936-12-15,1951-12-11,261.33554551663786
1937-01-14,1952-01-10,288.0121770403916
1937-02-15,1952-02-08,306.32015826244805
1937-03-15,1952-03-10,274.32687254122834
1937-04-14,1952-04-09,290.44471745512885
1937-05-14,1952-05-09,284.908340919543
1937-06-14,1952-06-06,305.5423232520983
1937-07-13,1952-07-08,341.344274540487
1937-08-12,1952-08-07,371.4355666500041
1937-09-13,1952-09-05,354.4243957688822
1937-10-11,1952-10-06,313.8057431621138
1937-11-10,1952-11-05,323.954141669118
1937-12-10,1952-12-05,373.4606457982224
1938-01-10,1953-01-02,424.05565985929405
1938-02-08,1953-02-03,422.33405636724706
1938-03-10,1953-03-05,376.06289423924886
1938-04-11,1953-04-02,342.6875948963926
1938-05-09,1953-05-04,326.3077011555425
1938-06-08,1953-06-03,283.53798757477284
1938-07-08,1953-07-03,289.29921978419145
1938-08-08,1953-07-31,308.295952723536
1938-09-06,1953-09-01,243.2253988345351
1938-10-06,1953-10-01,244.45321023676198
1938-11-07,1953-10-30,292.98244646757945
1938-12-05,1953-11-30,302.58267430687346
1939-01-04,1953-12-30,301.12957944082956
1939-02-03,1954-01-29,367.2094504701723
1939-03-06,1954-02-26,369.19063120873676
1939-04-04,1954-03-30,397.47076413713086
1939-05-04,1954-04-29,481.0101842074549
1939-06-05,1954-05-28,541.8410189495451
1939-07-03,1954-06-28,543.3120224935727
1939-08-02,1954-07-28,627.5998164829679
1939-09-01,1954-08-27,628.7463242378565
1939-10-02,1954-09-24,753.1398184282351
1939-10-31,1954-10-26,712.0213787982171
1939-11-30,1954-11-24,892.633216510098
1940-01-02,1954-12-23,986.6171059555104
1940-01-29,1955-01-24,987.2845326610015
1940-02-28,1955-02-23,1101.9452074014712
1940-03-29,1955-03-25,1100.956070687866
1940-04-29,1955-04-22,1198.5388694052058
1940-05-28,1955-05-24,1142.8786341042883
1940-06-27,1955-06-23,1467.3197809861722
1940-07-29,1955-07-22,1710.3704194819766
1940-08-26,1955-08-22,1562.8646892929887
1940-09-25,1955-09-21,1976.0025400089926
1940-10-25,1955-10-21,1557.1391888767644
1940-11-25,1955-11-18,1899.0615399543078
1940-12-24,1955-12-20,1804.065314789366
1941-01-23,1956-01-19,1628.0127865992658
1941-02-24,1956-02-17,1700.336279084493
1941-03-24,1956-03-19,2205.79522133762
1941-04-23,1956-04-18,2059.8251496380035
1941-05-23,1956-05-18,1845.9449489542376
1941-06-23,1956-06-15,1799.1760157391063
1941-07-22,1956-07-17,2146.168492229044
1941-08-21,1956-08-16,2058.1080227858643
1941-09-22,1956-09-14,1810.199282956334
1941-10-20,1956-10-15,1740.7330294988885
1941-11-19,1956-11-14,1611.9678807679318
1941-12-19,1956-12-14,1642.048643883577
1942-01-19,1957-01-11,1561.0358202048385
1942-02-17,1957-02-12,1157.8740397203348
1942-03-19,1957-03-14,1280.7142284998922
1942-04-20,1957-04-12,1331.5707722530026
1942-05-18,1957-05-13,1461.4725597666716
1942-06-17,1957-06-12,1519.007850945583
1942-07-17,1957-07-12,1567.2666593697045
1942-08-17,1957-08-09,1314.8220710888004
1942-09-15,1957-09-10,1017.3276538752372
1942-10-15,1957-10-10,773.8253989997463
1942-11-16,1957-11-08,696.7199176347252
1942-12-14,1957-12-09,713.2050597190624
1943-01-13,1958-01-08,694.2984191024788
1943-02-15,1958-02-07,717.7067146475854
1943-03-15,1958-03-07,721.9114981207046
1943-04-13,1958-04-08,673.1841973212653
1943-05-13,1958-05-08,808.7749778950105
1943-06-14,1958-06-06,836.9994333833287
1943-07-12,1958-07-07,884.3554484233023
1943-08-11,1958-08-06,991.3085323841071
1943-09-10,1958-09-05,1008.8215473862331
1943-10-11,1958-10-03,1165.6612083408183
1943-11-09,1958-11-03,1236.670534984362
1943-12-09,1958-12-04,1282.5210017203394
1944-01-10,1959-01-02,1490.6137276951474
1944-02-07,1959-02-02,1445.13882123161
1944-03-08,1959-03-04,1506.773417330821
1944-04-10,1959-04-03,1486.7172930957806
1944-05-08,1959-05-01,1561.2951559937505
1944-06-06,1959-06-02,1581.6416080325412
1944-07-06,1959-07-02,1641.6802917829766
1944-08-07,1959-07-31,1736.5860478270477
1944-09-05,1959-08-31,1623.633487492762
1944-10-04,1959-09-30,1368.545715730607
1944-11-03,1959-10-30,1393.705069106641
1944-12-04,1959-11-27,1383.3653498574631
1945-01-02,1959-12-29,1484.7675849130378
1945-02-01,1960-01-28,1221.928656021142
1945-03-05,1960-02-26,1201.6999918050997
1945-04-02,1960-03-28,1163.0741540653094
1945-05-02,1960-04-27,1089.650167762073
1945-06-01,1960-05-27,1120.8234154909096
1945-07-02,1960-06-24,1237.378938853426
1945-07-31,1960-07-26,1021.8243084529048
1945-08-30,1960-08-25,1216.494512526645
1945-10-01,1960-09-23,948.6630612723521
1945-10-29,1960-10-24,871.2997328334031
1945-11-28,1960-11-23,1038.738190288245
1945-12-28,1960-12-23,1131.5757332116696
1946-01-28,1961-01-20,1286.9288026381055
1946-02-26,1961-02-21,1451.415530005064
1946-03-28,1961-03-23,1600.547801204516
1946-04-29,1961-04-21,1671.4892468394964
1946-05-27,1961-05-22,1743.205238640131
1946-06-26,1961-06-21,1591.4368757457107
1946-07-26,1961-07-21,1557.633012749628
1946-08-26,1961-08-18,1818.3888691770608
1946-09-24,1961-09-19,1622.411043395627
1946-10-24,1961-10-19,1781.8970375034128
1946-11-25,1961-11-17,2026.69324374564
1946-12-23,1961-12-18,1995.5737211851708
1947-01-22,1962-01-17,1680.4403387089276
1947-02-21,1962-02-16,1831.869679378165
1947-03-24,1962-03-16,1835.4011495154534
1947-04-22,1962-04-17,1572.4859693893668
1947-05-22,1962-05-17,1265.9468524746396
1947-06-23,1962-06-15,757.2196607439538
1947-07-21,1962-07-16,824.6843076034475
1947-08-20,1962-08-15,848.8028604425663
1947-09-19,1962-09-14,843.159720311554
1947-10-20,1962-10-12,732.9832968835063
1947-11-18,1962-11-13,823.7894671807279
1947-12-18,1962-12-13,946.7318847966478
1948-01-19,1963-01-11,1052.500899233044
1948-02-16,1963-02-11,1079.684403483763
1948-03-17,1963-03-13,1057.6107674110813
1948-04-16,1963-04-11,1177.694761049444
1948-05-17,1963-05-10,1245.074091558183
1948-06-15,1963-06-11,1194.0338889729883
1948-07-15,1963-07-11,1158.9026571031302
1948-08-16,1963-08-09,1175.0776409235925
1948-09-13,1963-09-09,1265.7357780125674
1948-10-13,1963-10-09,1194.1752063603753
1948-11-12,1963-11-08,1256.6031612910897
1948-12-13,1963-12-06,1242.782733491358
1949-01-11,1964-01-07,1296.5100189878617
1949-02-10,1964-02-06,1335.750107575343
1949-03-14,1964-03-06,1364.3726869299496
1949-04-11,1964-04-06,1416.3223859868963
1949-05-11,1964-05-06,1426.4017881576572
1949-06-10,1964-06-05,1271.2995610511991
1949-07-11,1964-07-02,1396.9914646316893
1949-08-09,1964-08-04,1304.0846474954608
1949-09-08,1964-09-03,1285.8749899985432
1949-10-10,1964-10-02,1325.8096134811758
1949-11-07,1964-11-02,1319.7186550382671
1949-12-07,1964-12-02,1205.3349683749489
1950-01-06,1964-12-31,1212.2304476589259
1950-02-06,1965-01-29,1302.3280878762364
1950-03-07,1965-03-02,1246.739535470386
1950-04-06,1965-04-01,1156.5904886695496
1950-05-08,1965-04-30,1249.7389880126682
1950-06-05,1965-05-28,1183.206458261885
1950-07-05,1965-06-30,968.6812216290411
1950-08-04,1965-07-30,975.6700023088264
1950-09-05,1965-08-27,1015.1009633602422
1950-10-03,1965-09-28,1106.937728977815
1950-11-02,1965-10-28,1145.3165841451923
1950-12-04,1965-11-26,1108.9715075674783
1951-01-02,1965-12-27,1051.9608687565708
1951-01-31,1966-01-26,1126.017454663312
1951-03-02,1966-02-25,984.6760974893948
1951-04-02,1966-03-25,903.9183368940996
1951-05-01,1966-04-26,961.420290814892
1951-05-31,1966-05-26,793.5879810067382
1951-07-02,1966-06-24,739.3661546190609
1951-07-30,1966-07-25,651.7926611517893
1951-08-29,1966-08-24,513.6065763952073
1951-09-28,1966-09-23,464.30296804946335
1951-10-29,1966-10-21,460.86945065168806
1951-11-27,1966-11-22,479.14242734188923
1951-12-27,1966-12-22,507.30338718734475
1952-01-28,1967-01-20,592.4911830788722
1952-02-25,1967-02-20,612.468243767914
1952-03-26,1967-03-22,663.6422483035799
1952-04-25,1967-04-21,698.0728380811616
1952-05-26,1967-05-19,670.3030531381697
1952-06-24,1967-06-20,657.1279651130933
1952-07-24,1967-07-20,673.0947898392096
1952-08-25,1967-08-18,680.2545575312588
1952-09-22,1967-09-18,706.397885326145
