First Investment Day,Last Investment Day,Return (%)
1930-02-20,1950-02-14,45.10730866184834
1930-03-24,1950-03-16,48.85339677333644
1930-04-21,1950-04-14,52.97256788894755
1930-05-21,1950-05-15,55.65140736528931
1930-06-20,1950-06-14,61.94279329135804
1930-07-21,1950-07-14,43.97926493493644
1930-08-19,1950-08-11,56.07820246055684
1930-09-18,1950-09-12,61.165873604180575
1930-10-20,1950-10-11,69.69322020736149
1930-11-17,1950-11-10,70.3479184526551
1930-12-17,1950-12-11,68.44260702831235
1931-01-16,1951-01-10,77.94570050983948
1931-02-16,1951-02-09,89.00734186932415
1931-03-17,1951-03-09,87.02157715963239
1931-04-16,1951-04-10,84.39419890168503
1931-05-18,1951-05-10,91.58625687234846
1931-06-15,1951-06-08,82.61081157249053
1931-07-15,1951-07-09,84.47106775180058
1931-08-14,1951-08-08,94.37417058330755
1931-09-14,1951-09-07,99.30193821286447
1931-10-13,1951-10-05,100.96598132391348
1931-11-12,1951-11-05,92.27892606430532
1931-12-14,1951-12-06,96.38301996783731
1932-01-11,1952-01-04,100.29862651859676
1932-02-10,1952-02-04,101.32337532838767
1932-03-11,1952-03-05,96.98835209254928
1932-04-11,1952-04-04,99.06014039758291
1932-05-10,1952-05-02,93.98286586648263
1932-06-09,1952-06-03,94.48362881583712
1932-07-11,1952-07-03,103.00959444686836
1932-08-08,1952-08-01,104.0634726076334
1932-09-07,1952-08-29,100.0173042670094
1932-10-07,1952-10-01,94.72495473519389
1932-11-07,1952-10-31,94.30025482716385
1932-12-06,1952-11-28,102.25928196998382
1933-01-05,1952-12-30,108.34247765401904
1933-02-06,1953-01-29,104.21276648789227
1933-03-15,1953-02-27,100.33051519005964
1933-04-05,1953-03-30,96.90758675080885
1933-05-05,1953-04-29,88.39279674066157
1933-06-05,1953-05-29,86.53327716963301
1933-07-05,1953-06-26,83.44609495055978
1933-08-03,1953-07-28,82.22263459866839
1933-09-05,1953-08-27,79.27809263123746
1933-10-02,1953-09-25,75.10443813027236
1933-11-01,1953-10-26,82.07308809580934
1933-12-01,1953-11-25,82.93997203760289
1934-01-02,1953-12-24,84.40328524974575
1934-01-30,1954-01-22,91.72880076580616
1934-03-01,1954-02-23,90.90376350075694
1934-04-02,1954-03-25,94.6567912620029
